,name,preferred_formation,profile,team_style,pressing_intensity,defensive_line,win_pct,clean_sheet_pct,fail_to_score_pct
1491,Marc Schneider,4-2-3-1,attacking,gegenpress,0.92,high,11.76,23.53,29.41
1492,Marcel Rapp,3-4-3,defensive,counter,0.23,low,17.65,5.88,20.59
1493,Marco Antwerpen,5-3-2,balanced,possession,0.71,medium,,,
1494,Marco Baroni,4-2-3-1,balanced,possession,0.53,medium,31.18,24.19,28.49
1495,Marco Rose,4-2-3-1,attacking,possession,0.81,high,56.88,30.28,14.68
1496,Marco Zaffaroni,4-4-2,balanced,flexible,0.7,medium,15.38,3.85,26.92
1497,Markus Anfang,4-2-3-1,balanced,flexible,0.6,medium,,,
1498,Markus Fiedler,5-3-2,defensive,pragmatic,0.34,low,,,
1499,Markus Kauczinski,4-4-2,defensive,counter,0.29,low,,,
1500,Markus Weinzierl,4-4-2,defensive,direct,0.48,low,23.53,29.41,35.29
1501,Martin Heck,4-1-4-1,defensive,pragmatic,0.41,medium,,,
1502,Massimo Brambilla,4-2-3-1,attacking,possession,0.83,high,100.0,0.0,0.0
1503,Matías Almeyda,4-2-3-1,attacking,possession,0.81,high,24.49,18.37,22.45
1504,Mersad Selimbegovic,3-5-2,defensive,direct,0.37,low,,,
1505,Michael Schiele,3-4-3,balanced,flexible,0.68,medium,,,
1506,Michael Wimmer,4-2-3-1,attacking,gegenpress,0.88,high,,,
1507,Michel Der Zakarian,5-3-2,defensive,pragmatic,0.31,low,27.66,19.15,26.6
1508,Miguel Ángel Tena,4-4-2,attacking,gegenpress,0.87,high,45.45,18.18,0.0
1509,Miron Muslic,4-3-3,balanced,flexible,0.69,medium,,,
1510,Mitch Kniat,3-4-2-1,defensive,pragmatic,0.35,low,,,
1511,Míchel,4-3-3,attacking,gegenpress,0.82,high,39.46,20.41,23.13
1512,Niko Kovac,4-2-3-1,balanced,pragmatic,0.59,medium,43.97,29.79,21.99
1513,Nils Döring,3-4-2-1,attacking,gegenpress,0.77,high,,,
1514,Olivier Dall'Oglio,4-2-3-1,balanced,possession,0.53,medium,31.25,23.44,34.38
1515,Pablo Machín,4-4-2,balanced,direct,0.52,medium,16.67,8.33,50.0
1516,Pablo Manusovich,4-4-2,balanced,possession,0.49,medium,0.0,0.0,0.0
1517,Paco López,4-4-2,attacking,direct,0.85,high,15.22,21.74,39.13
1518,Paolo Zanetti,4-3-3,balanced,possession,0.51,medium,21.05,20.3,40.6
1519,Pascal Dupraz,4-1-4-1,defensive,counter,0.45,low,0.0,0.0,100.0
1520,Pascal Gastien,3-4-2-1,attacking,direct,0.91,high,30.11,23.66,33.33
1521,Pascal Ibold,4-1-4-1,balanced,flexible,0.49,medium,,,
1522,Patrick Glöckner,3-4-3,balanced,flexible,0.71,medium,,,
1523,Patrick Kisnorbo,3-4-2-1,defensive,pragmatic,0.46,low,4.35,4.35,39.13
1524,Patrick McCarthy,4-3-3,attacking,gegenpress,0.9,high,0.0,0.0,0.0
1525,Patrick Vieira,4-3-3,balanced,flexible,0.53,medium,28.69,25.41,31.15
1526,Paulo Sousa,3-4-2-1,attacking,possession,0.74,high,16.67,16.67,33.33
1527,Pierre Aristouy,4-2-3-1,attacking,possession,0.83,high,44.44,33.33,33.33
1528,Pál Dárdai,4-3-3,defensive,direct,0.43,low,31.58,5.26,26.32
1529,Quique Setién,4-3-3,attacking,possession,0.77,high,50.0,22.73,18.18
1530,Rainer Widmayer,4-1-4-1,defensive,counter,0.47,low,,,
1531,Ralph Hasenhüttl,4-4-2,attacking,possession,0.76,high,31.15,22.95,19.67
1532,Ray Lewington,5-3-2,balanced,flexible,0.51,medium,0.0,0.0,0.0
1533,Raymond Domenech,4-4-2,defensive,direct,0.46,low,40.0,20.0,30.0
1534,Robert Klauß,3-5-2,balanced,possession,0.58,medium,,,
1535,Robert Moreno,4-3-3,balanced,direct,0.6,medium,18.75,15.62,31.25
1536,Roberto Pätzold,3-4-3,attacking,gegenpress,0.92,high,,,
1537,Romain Pitau,3-5-2,balanced,flexible,0.61,medium,40.74,33.33,11.11
1538,Ruben Amorim,3-4-2-1,attacking,gegenpress,0.83,high,31.25,14.58,29.17
1539,Rubén Baraja,4-4-2,defensive,pragmatic,0.44,low,29.17,27.78,34.72
1540,Rubén Sellés,4-4-2,balanced,direct,0.43,medium,28.57,0.0,42.86
1541,Russell Martin,4-3-3,attacking,possession,0.91,high,11.43,11.43,42.86
1542,Ruud van Nistelrooy,4-3-3,balanced,flexible,0.68,medium,17.5,10.0,42.5
1543,Rüdiger Rehm,4-3-3,attacking,possession,0.79,high,,,
1544,Salvatore Bocchetti,4-3-3,attacking,direct,0.74,high,0.0,0.0,0.0
1545,Sam Allardyce,4-1-4-1,defensive,counter,0.46,low,50.0,0.0,0.0
1546,Sascha Hildmann,4-4-2,attacking,direct,0.71,high,,,
1547,Sean Dyche,4-4-2,defensive,counter,0.46,low,29.93,31.39,35.77
1548,Sebastián Beccacece,4-2-3-1,balanced,flexible,0.61,medium,25.0,25.0,33.33
1549,Sergio Francisco,3-4-3,defensive,counter,0.32,low,27.03,10.81,37.84
1550,Sergio González,3-4-3,attacking,gegenpress,0.73,high,22.22,28.89,42.22
1551,Sergio Mantecón,3-4-3,attacking,possession,0.8,high,0.0,0.0,42.86
1552,Simon Rusk,4-3-3,attacking,possession,0.76,high,0.0,50.0,100.0
1553,Sinisa Mihajlovic,4-2-3-1,attacking,possession,0.89,high,31.58,34.21,31.58
1554,Stefano Colantuono,3-5-2,balanced,flexible,0.61,medium,13.33,0.0,53.33
1555,Stefano Pioli,4-2-3-1,attacking,gegenpress,0.83,high,60.64,39.36,12.77
1556,Steve Cooper,4-2-3-1,balanced,pragmatic,0.64,medium,21.82,20.0,32.73
1557,Steve Davis,4-3-3,balanced,flexible,0.62,medium,17.86,21.43,46.43
1558,Steven Gerrard,4-3-3,balanced,possession,0.51,medium,37.5,25.0,18.75
1559,Stéphane Gilli,5-3-2,attacking,possession,0.85,high,21.74,21.74,30.43
1560,Stéphane Le Mignan,3-5-2,attacking,possession,0.75,high,20.0,16.0,28.0
1561,Stéphane Nado,3-4-3,balanced,flexible,0.69,medium,40.0,80.0,40.0
1562,Sébastien Bichard,3-4-3,balanced,flexible,0.63,medium,17.65,5.88,41.18
1563,Sébastien Tambouret,3-4-3,balanced,flexible,0.5,medium,27.27,27.27,18.18
1564,Thiago Motta,4-2-3-1,attacking,possession,0.83,high,38.58,35.43,25.2
1565,Thomas Frank,3-5-2,balanced,pragmatic,0.59,medium,32.04,22.65,24.31
1566,Thomas Reis,3-4-3,defensive,direct,0.24,medium,28.12,20.31,42.19
1567,Thomas Wörle,4-2-3-1,balanced,possession,0.71,medium,,,
1568,Timo Rost,3-4-2-1,balanced,direct,0.64,medium,,,
1569,Timo Schultz,3-4-2-1,balanced,flexible,0.53,medium,,,
1570,Tobias Schweinsteiger,3-4-2-1,attacking,gegenpress,0.72,high,,,
1571,Uli Forte,3-4-2-1,balanced,possession,0.48,medium,11.76,11.76,41.18
1572,Uwe Speidel,5-3-2,attacking,gegenpress,0.8,high,,,
1573,Veljko Paunovic,4-4-2,attacking,possession,0.75,high,33.33,33.33,66.67
1574,Vicente Moreno,3-4-2-1,defensive,counter,0.39,low,31.65,22.78,26.58
1575,Vincenzo Vivarini,4-1-4-1,defensive,counter,0.25,low,15.79,26.32,42.11
1576,Vladimir Petkovic,3-4-3,defensive,pragmatic,0.26,low,16.67,0.0,25.0
1577,Voro,4-1-4-1,attacking,gegenpress,0.77,high,0.0,0.0,66.67
1578,Vítor Pereira,3-5-2,balanced,direct,0.7,medium,27.27,27.27,36.36
1579,Walter Mazzarri,3-4-2-1,defensive,pragmatic,0.51,low,17.39,8.7,52.17
1580,Will Still,4-2-3-1,attacking,possession,0.79,high,40.24,37.8,20.73
1581,Xabi Alonso,3-4-2-1,attacking,possession,0.86,high,62.84,33.11,12.16
1582,Xavi,4-3-3,attacking,possession,0.91,high,64.21,46.32,13.68
1583,Xavier García Pimienta,4-3-3,attacking,possession,0.91,high,35.71,26.79,28.57
1584,Álvaro Cervera,4-1-4-1,defensive,counter,0.22,low,20.0,32.0,40.0
1585,Álvaro Rubio,3-4-2-1,defensive,counter,0.24,low,9.68,12.9,38.71
1586,Álvaro del Moral,5-3-2,attacking,possession,0.84,high,0.0,0.0,100.0
1587,Éric Roy,4-3-3,balanced,flexible,0.49,medium,44.14,35.14,23.42
1588,Óscar García,4-2-3-1,defensive,pragmatic,0.3,low,25.0,25.0,33.33
1589,Kieran Schulze-Marmeling,3-4-2-1,balanced,flexible,0.57,medium,,,
1590,Achim Beierlorzer,4-2-2-2,attacking,hard,0.7,high,25.0,25.0,50.0
1591,André Breitenreiter,4-4-2,balanced,neutral,0.46,mid,29.41,15.69,21.57
1592,Benjamin Hoffmann,4-3-3,attacking,neutral,0.67,high,11.11,0.0,22.22
1593,Bo Henriksen,3-4-2-1,attacking,hard,0.72,high,50.0,36.84,18.42
1594,Bruno Labbadia,4-3-3,balanced,hard,0.57,mid,21.74,8.7,26.09
1595,Christian Streich,3-4-2-1,balanced,hard,0.73,mid,46.43,34.52,19.05
1596,Daniel Bauer,4-2-3-1,balanced,neutral,0.26,mid,17.24,6.9,24.14
1597,Dennis Schmitt,4-3-3,attacking,soft,0.68,high,0.0,0.0,0.0
1598,Dino Toppmöller,3-4-2-1,attacking,neutral,0.72,high,38.1,21.9,14.29
1599,Edin Terzic,4-2-3-1,balanced,hard,0.64,mid,59.7,29.85,5.97
1600,Marco Grote,4-2-3-1,balanced,hard,0.56,mid,0.0,0.0,0.0
1601,Mark van Bommel,4-2-3-1,balanced,hard,0.61,mid,44.44,33.33,22.22
1602,Matthias Kreutzer,4-2-3-1,defensive,neutral,0.4,low,0.0,0.0,0.0
1603,Nenad Bjelica,4-2-3-1,defensive,hard,0.43,low,66.67,33.33,33.33
1604,Paul Simonis,4-2-3-1,attacking,neutral,0.63,high,28.57,14.29,28.57
1605,Sandro Schwarz,4-3-3,attacking,hard,0.71,high,17.78,15.56,22.22
1606,Tayfun Korkut,4-4-2,defensive,neutral,0.48,low,50.0,25.0,25.0
1607,Thomas Letsch,4-3-3,attacking,hard,0.8,high,30.23,18.6,32.56
1608,Alexander Ende,3-4-2-1,attacking,neutral,0.63,high,,,
1609,Alexander Medina,4-4-2,balanced,hard,0.65,mid,0.0,0.0,0.0
1610,Alois Schwartz,4-1-4-1,balanced,soft,0.6,mid,,,
1611,Andrea Sottil,4-4-2,defensive,hard,0.36,low,23.4,27.66,36.17
1612,Bruno Irles,4-3-3,balanced,soft,0.64,mid,66.7,33.3,33.3
1613,Carlo Ancelotti,4-3-3,balanced,soft,0.45,mid,50.0,0.0,0.0
1614,Christian Eichner,4-3-3,attacking,soft,0.88,high,,,
1615,Christian Titz,4-3-3,attacking,soft,0.7,high,,,
1616,Daniel Brinkmann,3-4-2-1,defensive,neutral,0.21,low,,,
1617,Daniel Scherning,4-4-2,balanced,soft,0.64,mid,,,
1618,Davide Ballardini,3-4-2-1,balanced,hard,0.6,mid,20.69,13.79,31.03
1619,Diego Martínez,4-2-3-1,defensive,neutral,0.45,low,50.0,50.0,0.0
1620,Eduardo Coudet,4-1-3-2,attacking,hard,0.8,high,0.0,0.0,0.0
1621,Fabrizio Castori,4-1-4-1,defensive,neutral,0.26,low,12.5,12.5,50.0
1622,Filippo Inzaghi,4-3-3,defensive,hard,0.4,low,10.53,10.53,31.58
1623,Florian Kohfeldt,4-3-3,balanced,soft,0.55,mid,66.7,33.3,33.3
1624,Giovanni Stroppa,5-3-2,balanced,neutral,0.52,mid,33.3,66.7,33.3
1625,Graham Potter,3-4-2-1,attacking,soft,0.65,high,33.9,28.81,32.2
1626,Heiko Vogel,4-3-3,balanced,soft,0.62,mid,,,
1627,Javier Aguirre,5-3-2,defensive,hard,0.35,low,60.0,80.0,20.0
