,diff_Per 90 Minutes_Gls,diff_elo,diff_manager_clean_sheet_pct,home_elo,home_Per 90 Minutes_Gls,diff_Poss,Temp_Moy_C,Vent_Moy_kmh,attendance,Humidite_Moy_%,away_elo,diff_manager_pressing_intensity,diff_Performance_CrdY,diff_Age,away_Per 90 Minutes_Gls,diff_points_last_5,home_Poss,diff_Performance_PKatt,avg_goals_per_match,away_points_last_5,avg_yellow_per_match,home_points_last_5,away_momentum,away_rest_days,home_rest_days,away_manager_clean_sheet_pct,away_manager_btts_pct,home_manager_avg_corners,away_manager_win_pct,home_Performance_CrdY,home_momentum,home_Age,away_Age,home_Performance_PKatt,home_manager_avg_fouls,avg_fouls_per_match,home_manager_avg_yellow_cards,diff_h2h_advantage,diff_momentum,h2h_home_win_pct,home_manager_clean_sheet_pct,away_manager_pressing_intensity,away_Poss,away_Performance_CrdY,diff_Performance_CrdR,home_manager_pressing_intensity,avg_red_per_match,diff_absences,diff_rest_days
546,-0.17999999999999994,-34.66442870999981,-3.6999999999999993,1865.23840332,1.35,-5.200000000000003,4.9,11.5,52226.0,93.0,1899.90283203,-0.2205959563874471,-0.5526315789473684,2.6000000000000014,1.53,2.0,52.9,-0.02631578947368421,3.04,8.0,2.5,10.0,-0.57,7.0,6.0,27.8,59.3,5.86,46.3,1.605263157894737,1.52,27.5,24.9,0.1578947368421052,9.96,23.1,1.95,-0.09999999999999998,2.09,0.4,24.1,0.6023246849523075,58.1,2.1578947368421053,-0.10526315789473681,0.3817287285648604,0.12,0.0,-1.0
547,0.4099999999999999,169.4256591799999,-0.6999999999999993,1837.91369629,1.38,8.199999999999996,8.8,15.9,31426.0,82.3,1668.48803711,0.2520011795688135,0.23684210526315774,0.9000000000000021,0.97,0.0,52.8,0.0,2.62,7.0,3.04,7.0,2.1,6.0,7.0,28.9,44.7,4.71,34.2,2.1578947368421053,-1.09,26.8,25.9,0.131578947368421,12.26,22.3,2.33,0.0,-3.1900000000000004,0.5,28.2,0.3698195819047012,44.6,1.9210526315789476,-0.0526315789473684,0.6218207614735147,0.0,-2.0,1.0
548,-0.3899999999999999,84.14270018999991,17.1,1914.5201416,1.29,1.2999999999999972,8.4,11.0,43157.0,97.0,1830.37744141,-0.04646716624247882,-0.10526315789473673,1.8999999999999986,1.68,7.0,53.9,-0.1578947368421052,2.82,8.0,2.18,15.0,-1.1100000000000003,6.0,7.0,15.6,75.0,5.09,46.9,1.368421052631579,3.95,28.7,26.8,0.0,10.13,22.0,1.53,-0.5,5.0600000000000005,0.0,32.7,0.5,52.6,1.4736842105263157,-0.052631578947368404,0.4535328337575212,0.03,0.0,1.0
549,0.0,-5.287475580000091,-5.600000000000001,1781.79919434,1.18,4.099999999999994,7.9,9.5,26647.0,97.0,1787.08666992,0.030664390203039793,0.3421052631578947,2.299999999999997,1.18,0.0,51.3,0.0526315789473684,3.03,9.0,2.76,9.0,1.35,8.0,9.0,30.0,44.0,5.11,34.0,1.7894736842105263,4.46,28.9,26.6,0.1052631578947368,10.67,20.8,1.86,0.30000000000000004,3.11,0.8,24.4,0.4235276182597542,47.2,1.4473684210526316,-0.0263157894736842,0.454192008462794,0.03,0.0,1.0
550,0.32999999999999985,-38.70275878999996,-8.500000000000002,1825.93054199,1.68,-0.29999999999999716,4.7,15.0,73996.0,85.7,1864.63330078,0.1182712714351396,-0.13157894736842124,-0.6999999999999993,1.35,0.0,52.6,0.0,3.03,8.0,2.76,8.0,1.5399999999999996,6.0,5.0,24.1,66.7,4.73,40.7,1.4736842105263157,0.2899999999999993,26.8,27.5,0.1578947368421052,9.3,20.8,1.7,-0.3,-1.2500000000000002,0.2,15.6,0.3817287285648604,52.9,1.605263157894737,0.0,0.5,0.03,3.0,-1.0
551,0.24,-18.45910644999981,-4.900000000000002,1900.50793457,1.53,4.200000000000003,7.0,15.2,39765.0,83.0,1918.96704102,0.14879185119478633,0.7894736842105263,-3.8000000000000007,1.29,-9.0,58.1,0.1842105263157894,3.0,15.0,2.96,6.0,4.49,6.0,7.0,32.7,53.1,6.02,59.2,2.1578947368421053,-0.0699999999999999,24.9,28.7,0.1842105263157894,10.96,21.9,2.27,-0.3,-4.5600000000000005,0.2,27.8,0.4535328337575212,53.9,1.368421052631579,0.1578947368421052,0.6023246849523075,0.08,0.0,1.0
552,-0.73,-214.4971923799999,-12.600000000000001,1780.4708252,1.18,-13.199999999999996,6.4,17.0,30778.0,88.5,1994.96801758,-0.08277436798281496,-0.10526315789473673,0.5,1.91,-9.0,47.2,-0.0526315789473684,2.86,15.0,2.81,6.0,5.79,7.0,5.0,42.6,48.1,5.5,68.5,1.4473684210526316,-0.6399999999999999,26.6,26.1,0.0526315789473684,11.65,21.1,1.52,-0.3,-6.43,0.2,30.0,0.5063019862425692,60.4,1.5526315789473684,0.0263157894736842,0.4235276182597542,0.0,0.0,-2.0
553,-0.23999999999999988,-106.58886718999997,-21.9,1696.96398926,0.91,-2.3000000000000043,5.8,23.5,21637.0,87.3,1803.55285645,-0.0660809304791059,-0.1578947368421053,-0.3000000000000007,1.15,-5.0,41.8,0.0,2.96,6.0,2.25,1.0,0.2599999999999999,7.0,7.0,32.4,45.9,3.8,37.8,1.5,-1.44,27.9,28.2,0.0526315789473684,9.94,21.7,1.88,-0.09999999999999998,-1.6999999999999997,0.4,10.5,0.3835763682037024,44.1,1.6578947368421053,-0.026315789473684195,0.3174954377245965,0.08,2.0,0.0
554,0.0,-58.99829101,-6.5,1729.41662598,1.18,-8.799999999999997,7.4,16.4,62464.0,82.0,1788.41491699,-0.042586122558057715,-0.21052631578947345,-1.8999999999999986,1.18,-7.0,42.5,-0.026315789473684195,2.56,9.0,2.28,2.0,5.12,5.0,7.0,24.4,56.1,5.22,43.9,1.5789473684210529,-0.31,27.0,28.9,0.0789473684210526,11.35,21.7,1.89,-0.09999999999999998,-5.43,0.4,17.9,0.454192008462794,51.3,1.7894736842105263,0.0789473684210526,0.4116058859047363,0.08,-4.0,2.0
555,0.9400000000000001,300.50537110000005,15.8,1942.93591309,1.62,16.1,5.9,9.7,60466.0,83.0,1642.43054199,-0.016186903442006073,-0.6578947368421053,0.6999999999999993,0.68,11.0,59.6,-0.0526315789473684,3.33,0.0,2.17,11.0,-1.48,7.0,7.0,15.0,45.0,6.1,17.5,1.3157894736842106,3.07,27.4,26.7,0.0526315789473684,10.24,23.0,1.2,0.5,4.55,1.0,30.8,0.4595605797670327,43.5,1.973684210526316,-0.052631578947368404,0.4433736763250266,0.06,0.0,0.0
