,diff_Per 90 Minutes_Gls,diff_Cotes,AvgCA,AvgCH,diff_manager_clean_sheet_pct,diff_pi_rating,home_pi_rating,attendance,Humidite_Moy_%,Vent_Moy_kmh,diff_Poss,AvgCAHH,home_Per 90 Minutes_Gls,Temp_Moy_C
0,-0.2799999999999998,3.3599999999999994,5.02,1.66,-8.799999999999999,0.0,0.0,73297.0,75.0,5.1,1.2000000000000028,1.82,1.11,14.3
1,-1.3200000000000003,-6.52,1.35,7.87,3.1999999999999993,0.0,0.0,30014.0,48.0,7.2,-17.1,1.99,0.92,22.2
2,0.0,0.98,3.23,2.25,5.0,0.0,0.0,29763.0,52.7,15.5,-7.299999999999997,1.93,1.5,18.9
3,0.3700000000000001,16.96,18.11,1.15,35.0,0.0,0.0,60261.0,41.7,8.0,8.799999999999997,1.99,1.76,21.9
4,-0.6499999999999999,-0.6800000000000002,2.38,3.06,4.199999999999999,0.0,0.0,39217.0,62.7,11.9,-11.399999999999999,1.83,1.03,17.4
5,1.08,5.94,7.33,1.39,-2.799999999999997,0.0,0.0,52196.0,56.7,18.4,2.799999999999997,1.82,1.74,18.7
6,-0.3400000000000001,0.3599999999999999,2.83,2.47,-14.800000000000004,0.0,0.0,62463.0,40.0,8.9,-2.1000000000000014,1.82,1.13,21.5
7,0.41999999999999993,-0.22999999999999998,2.62,2.85,-3.400000000000002,0.0,0.0,16988.0,36.3,14.6,5.100000000000001,2.05,1.71,23.6
8,-0.26,-1.6600000000000001,1.98,3.64,-14.8,0.0,0.0,39818.0,34.5,16.8,-4.199999999999996,1.9,1.61,24.6
9,-0.7400000000000001,-2.8600000000000003,1.71,4.57,-19.4,0.0,0.0,31977.0,74.7,29.8,-9.300000000000004,1.99,0.87,17.6
10,-0.29000000000000004,-2.92,1.74,4.66,-17.299999999999997,-0.04000000000000001,0.13,41587.0,53.0,19.6,-6.399999999999999,1.94,1.47,15.8
11,0.5199999999999999,2.33,4.21,1.88,11.899999999999999,-0.039999999999999994,-0.06999999999999999,25401.0,82.7,15.8,6.899999999999999,1.87,1.39,16.5
12,-0.84,0.6800000000000002,3.04,2.36,-3.1000000000000014,-0.039999999999999994,-0.06999999999999999,31150.0,60.7,20.2,7.299999999999997,2.03,0.66,18.2
13,0.5800000000000001,6.54,7.91,1.37,-0.5,0.36,0.03,61357.0,85.0,12.2,13.800000000000004,2.0,1.61,16.3
14,0.9500000000000001,26.41,27.5,1.09,8.600000000000001,0.45999999999999996,0.22999999999999998,53147.0,60.3,21.0,20.699999999999996,1.84,1.87,16.0
15,0.5699999999999998,0.3999999999999999,2.81,2.41,12.6,0.26,0.33,31537.0,86.0,16.0,-1.2000000000000028,2.09,1.68,16.2
16,0.16000000000000014,1.7400000000000002,3.72,1.98,17.200000000000003,0.06000000000000001,-0.06999999999999999,25099.0,85.7,15.9,-5.600000000000001,1.99,1.29,16.1
